Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
b0912	b0912	2	2	2		1	2	2	2	22.3	22.3	22.3	10.651	94	94	0	2.8854	NaN	NaN	NaN	1	0	Median	64161	32523	31638				87	640;1039	True;True	646;1046	1244;1245;2022	5516;5517;5518;8728	5518;8728		
b0918	b0918	1	1	1		1	1	1	1	3.6	3.6	3.6	27.614	248	248	0.0057143	1.6118	NaN	NaN	NaN	1	0	Median	18526	8343.9	10182				88	1483	True	1499	2896	12155	12155		
b0928	b0928	8	8	8		1	8	8	8	23.2	23.2	23.2	43.573	396	396	0	18.207	0.67618	0.77484	76.322	6	0	Leave out requantified	362680	218810	143870				89	114;454;689;769;1368;1402;1558;1577	True;True;True;True;True;True;True;True	115;458;695;775;1383;1418;1577;1596	238;914;1340;1341;1467;1468;2669;2724;3043;3044;3073	1208;4153;4154;5883;5884;5885;5886;5887;5888;6392;6393;6394;6395;6396;11213;11418;12729;12730;12825	1208;4154;5887;6392;11213;11418;12729;12825		
b0929;b0241	b0929	13;1	13;1	12;0		2	13	13	12	40.3	40.3	38.4	39.333	362	362;351	0	77.449	0.31849	0.51539	6.6956	21	0	Leave out requantified	4120200	3183900	936250				90	55;232;296;581;976;1024;1308;1353;1648;1655;1746;1892;1901	True;True;True;True;True;True;True;True;True;True;True;True;True	55;236;300;585;983;1031;1323;1368;1667;1674;1766;1913;1923	99;100;499;500;609;610;1143;1144;1896;1897;1898;1899;1982;1983;1984;2572;2573;2649;2650;3199;3200;3212;3451;3452;3755;3756;3757;3773;3774	462;463;464;2409;2410;2411;2412;2413;2811;2812;5110;5111;5112;5113;5114;5115;5116;5117;5118;5119;5120;8264;8265;8266;8267;8537;8538;8539;8540;8541;8542;8543;10889;10890;11153;11154;11155;11156;11157;11158;11159;11160;11161;11162;11163;13274;13275;13313;14466;14467;14468;14469;14470;14471;14472;14473;14474;15835;15836;15837;15838;15839;15840;15841;15842;15843;15844;15845;15846;15847;15848;15849;15850;15851;15852;15853;15854;15855;15856;15857;15858;15859;15860;15861;15862;15941;15942;15943;15944;15945;15946;15947	463;2412;2812;5116;8267;8540;10890;11154;13274;13313;14466;15850;15946		
b0930	b0930	9	9	9		1	9	9	9	21	21	21	52.57	466	466	0	16.288	1.2579	1.2943	7.698	8	0	Leave out requantified	469250	206680	262570				91	356;973;1054;1103;1566;1647;1671;1708;1829	True;True;True;True;True;True;True;True;True	360;980;1061;1110;1585;1666;1690;1728;1850	716;1891;2045;2135;3053;3054;3198;3254;3370;3371;3372;3612	3269;3270;3271;3272;8249;8814;8815;9160;9161;9162;12759;12760;12761;12762;12763;12764;12765;13270;13271;13272;13273;13567;13568;14079;14080;14081;14082;14083;15112;15113;15114;15115;15116	3272;8249;8815;9162;12761;13272;13568;14080;15116		
b0932	b0932	6	6	6		1	6	6	6	7.6	7.6	7.6	98.918	870	870	0	6.1637	2.6565	1.6525	10.149	3	0	Leave out requantified	207640	55065	152580				92	367;542;1109;1681;1869;1888	True;True;True;True;True;True	371;546;1116;1700;1890;1909	739;1066;2142;2143;3281;3282;3709;3750	3341;4759;4760;9184;9185;9186;9187;9188;9189;13705;13706;13707;13708;13709;13710;13711;15653;15654;15655;15817	3341;4760;9187;13707;15653;15817		
b0954	b0954	9	9	9		1	9	9	9	45.3	45.3	45.3	18.969	172	172	0	9.9427	0.48552	0.75495	10.26	8	0	Leave out requantified	610140	445280	164870				93	132;391;577;627;1112;1118;1294;1443;1749	True;True;True;True;True;True;True;True;True	133;395;581;632;1119;1125;1306;1459;1769	270;795;1136;1137;1226;2149;2162;2524;2812;3456	1332;1333;1334;3666;3667;3668;3669;3670;3671;3672;3673;3674;3675;3676;3677;5048;5049;5050;5051;5052;5053;5054;5055;5056;5057;5455;5456;9196;9197;9198;9258;10663;11756;14482	1334;3667;5053;5455;9198;9258;10663;11756;14482		
b0957	b0957	12	12	12		1	12	12	12	39.9	39.9	39.9	37.2	346	346	0	152.88	0.52103	0.82424	7.4448	39	0	Leave out requantified	10569000	7153800	3415600				94	186;191;213;298;334;663;867;1083;1321;1434;1451;1469	True;True;True;True;True;True;True;True;True;True;True;True	189;194;216;302;338;669;874;1090;1336;1450;1467;1485	374;375;376;377;384;385;386;387;388;389;440;612;613;614;615;616;617;618;619;620;677;678;679;680;1289;1290;1291;1292;1665;1666;1667;1668;2096;2097;2098;2099;2591;2786;2787;2788;2789;2790;2791;2792;2793;2794;2795;2796;2797;2798;2822;2823;2824;2825;2826;2827;2828;2829;2830;2869;2870;2871;2872	1799;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;2114;2115;2116;2117;2118;2119;2120;2121;2122;2123;2124;2125;2126;2818;2819;2820;2821;2822;2823;2824;2825;2826;2827;2828;2829;2830;2831;2832;2833;2834;2835;2836;2837;2838;2839;2840;2841;2842;2843;2844;2845;2846;2847;2848;2849;2850;2851;2852;2853;2854;2855;2856;2857;2858;2859;2860;2861;2862;2863;2864;2865;2866;2867;2868;2869;2870;2871;2872;2873;2874;2875;2876;2877;2878;2879;2880;2881;2882;2883;2884;2885;2886;2887;2888;2889;2890;2891;2892;2893;2894;2895;2896;2897;2898;2899;2900;2901;2902;2903;3117;3118;3119;3120;3121;3122;3123;3124;3125;3126;3127;3128;3129;3130;3131;5693;5694;5695;5696;5697;5698;5699;5700;5701;7213;7214;7215;7216;7217;7218;7219;7220;7221;7222;7223;7224;7225;7226;7227;7228;7229;7230;7231;7232;7233;7234;7235;7236;7237;9005;9006;9007;9008;9009;9010;9011;9012;9013;9014;9015;9016;9017;9018;9019;9020;10928;10929;10930;11653;11654;11655;11656;11657;11658;11659;11660;11661;11662;11663;11664;11665;11666;11667;11668;11669;11670;11671;11672;11673;11674;11675;11676;11677;11678;11679;11680;11681;11682;11683;11684;11685;11686;11687;11688;11689;11690;11691;11692;11693;11694;11695;11790;11791;11792;11793;11794;11795;11796;11797;11798;11799;11800;11801;11802;11803;11804;11805;11806;11807;11808;11809;11810;11811;11812;11813;11814;11815;11816;11817;11818;11819;11820;11821;11822;11823;11824;11825;11826;11827;11828;11829;11830;11831;11832;11833;11834;12015;12016;12017;12018;12019;12020;12021;12022;12023;12024;12025;12026;12027;12028;12029;12030;12031;12032;12033;12034;12035;12036;12037;12038;12039;12040;12041;12042;12043;12044;12045;12046;12047;12048;12049;12050;12051;12052;12053;12054;12055;12056;12057;12058;12059	1818;1867;2115;2862;3125;5695;7215;9015;10930;11663;11793;12026		
b1048	b1048	1	1	1		1	1	1	1	2.2	2.2	2.2	57.912	511	511	0	2.0396	NaN	NaN	NaN	0	0	Median	14440	0	14440				95	1201	True	1209	2338	9970	9970		
b1062	b1062	1	1	1		1	1	1	1	6	6	6	38.827	348	348	0.0029762	1.7365	NaN	NaN	NaN	1	0	Median	46148	25076	21072				96	866	True	873	1664	7212	7212		
b1064	b1064	3	3	3		1	3	3	3	19.1	19.1	19.1	24.318	215	215	0	3.9943	0.63993	0.88631	17.892	2	0	Median	104630	70971	33660				97	385;1342;1527	True;True;True	389;1357;1545	787;2633;2991	3628;3629;3630;11107;12524	3628;11107;12524		
b1089	b1089	5	5	5		1	5	5	5	70.2	70.2	70.2	6.4463	57	57	0	61.047	0.61359	1.0685	21.77	7	0	Leave out requantified	790630	469380	321260				98	242;792;1448;1497;1498	True;True;True;True;True	246;798;1464;1513;1514	515;1533;1534;2819;2922;2923;2924	2460;6698;6699;6700;6701;6702;6703;6704;6705;11786;12231;12232;12233;12234;12235;12236;12237;12238;12239;12240	2460;6702;11786;12231;12236		
b1092	b1092	3	3	3		1	3	3	3	15.2	15.2	15.2	32.417	309	309	0	3.0879	NaN	NaN	NaN	1	0	Median	106380	24321	82054				99	1410;1557;1682	True;True;True	1426;1576;1701	2740;2741;3042;3283	11475;11476;12726;12727;12728;13712;13713	11475;12727;13712		
b1093	b1093	7	7	7		1	7	7	7	36.9	36.9	36.9	25.56	244	244	0	16.228	0.58552	0.86591	10.821	13	0	Leave out requantified	506320	322080	184240				100	44;83;85;100;674;697;832	True;True;True;True;True;True;True	44;84;86;101;680;703;838	83;84;178;179;180;183;184;208;209;210;1313;1350;1351;1600;1601;1602	395;396;839;840;841;842;843;844;845;846;847;848;849;850;851;852;853;854;855;856;857;858;859;860;866;867;868;869;870;871;872;873;874;990;991;992;993;994;995;996;997;998;999;1000;1001;1002;1003;5755;5911;5912;6945;6946;6947;6948;6949;6950;6951;6952;6953;6954;6955;6956;6957;6958;6959;6960;6961	396;850;873;1000;5755;5912;6960		
b1094	b1094	2	2	2		1	2	2	2	32.1	32.1	32.1	8.6394	78	78	0	1.9716	1.1467	1.7327	22.355	2	0	Median	286430	132300	154140				101	877;951	True;True	884;958	1695;1696;1844	7395;7396;8106	7395;8106		
b1095	b1095	2	2	2		1	2	2	2	7.5	7.5	7.5	43.013	413	413	0	2.0727	0.77634	0.96431	0.32573	2	0	Median	715540	438570	276970				102	289;1622	True;True	293;1641	602;3159	2797;2798;2799;13123	2799;13123		
b1102	b1102	6	6	6		1	6	6	6	11.2	11.2	11.2	81.232	729	729	0	10.519	0.48725	0.40506	45.928	7	0	Leave out requantified	285820	213230	72591				103	53;841;1006;1205;1318;1838	True;True;True;True;True;True	53;847;1013;1213;1333;1859	96;1618;1953;1954;2347;2348;2587;3622;3623;3624;3625;3626	450;451;452;453;7004;8436;8437;8438;8439;8440;10017;10018;10019;10020;10021;10022;10023;10024;10025;10026;10917;15147;15148;15149;15150;15151;15152;15153;15154;15155	452;7004;8439;10021;10917;15155		
b1109	b1109	5	5	5		1	5	5	5	15.2	15.2	15.2	47.34	434	434	0	6.3357	0.7944	0.80416	3.4498	3	0	Leave out requantified	188670	119520	69145				104	591;962;1612;1626;1796	True;True;True;True;True	596;969;1631;1645;1816	1166;1867;3135;3136;3163;3164;3552	5223;8170;13064;13065;13066;13132;13133;14876	5223;8170;13065;13133;14876		
b1123	b1123	5	5	5		1	5	5	5	15.5	15.5	15.5	38.867	348	348	0	6.694	0.68836	1.1782	3.6882	6	0	Leave out requantified	481400	284940	196460				105	497;738;1113;1565;1643	True;True;True;True;True	501;744;1120;1584;1662	979;1419;2150;2151;3052;3191	4435;4436;6214;6215;6216;6217;6218;6219;9199;9200;9201;9202;9203;9204;9205;9206;9207;12755;12756;12757;12758;13232;13233;13234	4435;6216;9204;12755;13232		
b1131	b1131	5	5	5		1	5	5	5	9.4	9.4	9.4	51.542	456	456	0	4.8828	1.0464	1.0643	16.905	5	0	Leave out requantified	177280	78122	99159				106	280;310;313;657;1407	True;True;True;True;True	284;314;317;663;1423	588;637;641;1276;2737	2732;2959;2979;5666;5667;5668;11472	2732;2959;2979;5666;11472		
b1136;b4519	b1136	15;3	15;3	15;3		2	15	15	15	33.9	33.9	33.9	45.756	416	416;54	0	49.507	0.94213	0.96886	13.917	25	0	Leave out requantified	2529700	1384200	1145600				107	14;15;368;550;706;725;800;803;939;992;1514;1680;1806;1860;1958	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	14;15;372;554;712;731;806;809;946;999;1530;1699;1827;1881;1980	28;29;30;31;740;741;742;1083;1362;1363;1391;1392;1393;1394;1395;1544;1545;1549;1550;1551;1552;1818;1928;2954;2955;3279;3280;3568;3569;3689;3690;3691;3859;3860	124;125;126;127;128;129;130;131;132;133;134;135;3342;3343;3344;3345;3346;3347;4831;5951;5952;5953;6095;6096;6097;6098;6099;6100;6101;6102;6103;6104;6105;6106;6107;6108;6109;6110;6111;6112;6113;6114;6115;6116;6117;6118;6119;6718;6719;6720;6721;6748;6749;6750;6751;6752;6753;6754;6755;6756;6757;6758;6759;6760;6761;6762;6763;6764;6765;8019;8020;8021;8022;8023;8353;8354;8355;8356;8357;8358;8359;12377;12378;12379;12380;12381;12382;12383;13697;13698;13699;13700;13701;13702;13703;13704;14914;14915;14916;14917;14918;14919;14920;14921;14922;14923;15585;15586;15587;15588;15589;15590;15591;15592;15593;15594;16314;16315;16316;16317;16318;16319;16320;16321;16322;16323;16324;16325;16326;16327;16328;16329;16330;16331;16332;16333	124;133;3345;4831;5952;6101;6720;6757;8022;8357;12380;13698;14919;15594;16317		
b1152	b1152	1	1	1		1	1	1	1	3.1	3.1	3.1	27.621	259	259	0.0057307	1.6172	0.64113	1.038	23.768	2	0	Median	129640	81175	48460				108	16	True	16	32;33	136;137;138;139;140;141;142;143;144;145	145		
b1174	b1174	1	1	1		1	1	1	1	10.2	10.2	10.2	10.235	88	88	0.005814	1.6787	NaN	NaN	NaN	1	0	Median	109440	61409	48027				109	140	True	141	294	1494;1495;1496;1497;1498;1499	1497		
b1207	b1207	8	8	8		1	8	8	8	35.2	35.2	35.2	34.186	315	315	0	34.48	0.87746	1.4405	7.028	8	0	Leave out requantified	604340	327470	276870				110	181;941;1065;1139;1234;1639;1728;1844	True;True;True;True;True;True;True;True	184;948;1072;1146;1242;1658;1748;1865	366;1820;1821;2068;2211;2408;3184;3416;3640;3641	1767;8026;8027;8028;8029;8030;8031;8032;8033;8034;8035;8918;8919;9515;10269;10270;10271;10272;10273;10274;10275;13200;13201;13202;13203;13204;13205;13206;13207;13208;13209;13210;14277;15223;15224;15225;15226;15227;15228;15229;15230;15231;15232	1767;8030;8918;9515;10269;13205;14277;15230		
b1232	b1232	1	1	1		1	1	1	1	5.4	5.4	5.4	31.934	280	280	0	2.3826	NaN	NaN	NaN	0	0	Median	120880	69139	51740				111	520	True	524	1013;1014	4521;4522;4523;4524;4525;4526	4525		
b1236	b1236	2	2	2		1	2	2	2	10.3	10.3	10.3	32.942	302	302	0	2.1691	NaN	NaN	NaN	0	0	Median	27031	0	27031				112	233;750	True;True	237;756	501;1438	2414;6265	2414;6265		
b1237	b1237	4	4	4		1	4	4	4	30.7	30.7	30.7	15.539	137	137	0	4.1875	0.63626	1.0343	7.3646	3	0	Leave out requantified	244750	132790	111960				113	1061;1507;1651;1944	True;True;True;True	1068;1523;1670;1966	2063;2940;2941;2942;2943;2944;2945;3206;3838	8895;8896;8897;8898;8899;8900;12329;12330;12331;12332;12333;12334;12335;13305;16208	8897;12334;13305;16208		
b1241	b1241	23	23	23		1	23	23	23	36.4	36.4	36.4	96.126	891	891	0	151.33	1.3966	0.96132	74.264	28	0	Leave out requantified	4200900	3047100	1153800				114	2;4;31;136;224;241;245;509;517;739;822;896;898;904;982;1129;1192;1240;1304;1322;1396;1893;1937	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2;4;31;137;228;245;249;513;521;745;828;903;905;911;989;1136;1200;1248;1319;1337;1412;1914;1959	4;5;6;7;8;9;11;12;13;14;15;16;65;66;281;282;283;284;484;485;486;512;513;514;520;521;522;523;994;995;1006;1007;1420;1421;1583;1584;1585;1586;1587;1735;1736;1737;1738;1739;1740;1741;1746;1747;1758;1759;1760;1906;2177;2178;2179;2180;2181;2182;2183;2184;2185;2186;2187;2320;2321;2322;2323;2324;2325;2326;2416;2417;2418;2419;2565;2566;2567;2568;2592;2593;2713;2714;2715;3758;3828	9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;319;320;321;322;1425;1426;1427;1428;1429;1430;1431;1432;1433;2337;2338;2339;2340;2341;2342;2343;2344;2345;2455;2456;2457;2458;2459;2508;2509;2510;2511;2512;2513;2514;2515;4464;4465;4466;4467;4468;4469;4470;4471;4472;4473;4474;4475;4476;4477;4478;4479;4480;4481;4482;4510;4511;4512;6220;6221;6222;6223;6881;6882;6883;6884;6885;6886;6887;6888;6889;6890;6891;6892;6893;6894;6895;6896;6897;6898;7639;7640;7641;7642;7643;7644;7645;7646;7647;7648;7649;7650;7651;7652;7653;7654;7655;7656;7657;7658;7659;7660;7661;7662;7663;7664;7665;7666;7667;7668;7669;7670;7671;7672;7673;7674;7675;7676;7677;7678;7679;7680;7694;7695;7696;7697;7698;7699;7700;7701;7702;7703;7704;7763;7764;7765;7766;7767;7768;7769;7770;7771;7772;7773;7774;7775;7776;7777;7778;7779;7780;8281;8282;9353;9354;9355;9356;9357;9358;9359;9360;9361;9362;9363;9364;9365;9366;9367;9368;9369;9370;9371;9372;9373;9374;9375;9376;9377;9378;9379;9380;9381;9382;9383;9384;9385;9386;9387;9388;9389;9390;9914;9915;9916;9917;9918;9919;9920;9921;9922;9923;9924;9925;9926;9927;9928;9929;9930;9931;9932;9933;9934;9935;9936;9937;10297;10298;10299;10300;10301;10302;10303;10304;10305;10306;10307;10308;10309;10310;10311;10312;10313;10314;10315;10316;10317;10318;10319;10320;10321;10322;10323;10324;10325;10850;10851;10852;10853;10854;10855;10856;10857;10858;10859;10860;10861;10862;10863;10864;10865;10866;10867;10868;10869;10870;10871;10872;10873;10874;10875;10931;10932;11368;11369;11370;11371;11372;11373;11374;11375;11376;11377;11378;11379;11380;11381;15863;16171;16172;16173;16174;16175;16176;16177	28;52;319;1429;2339;2457;2510;4469;4512;6223;6892;7652;7704;7772;8281;9365;9935;10319;10871;10932;11375;15863;16175		
b1243	b1243	24	24	24		1	24	24	24	47.9	47.9	47.9	60.898	543	543	0	180.06	1.6855	1.1424	58.941	48	0	Leave out requantified	13733000	6413400	7320100				115	54;101;336;372;808;844;993;994;1002;1028;1122;1123;1144;1204;1216;1217;1220;1331;1485;1526;1530;1675;1862;1887	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	54;102;340;376;814;850;1000;1001;1009;1035;1129;1130;1151;1212;1224;1225;1228;1346;1501;1543;1544;1548;1694;1883;1908	97;98;211;682;683;765;766;767;1559;1560;1561;1562;1622;1623;1624;1625;1929;1930;1931;1944;1945;1946;1947;1989;1990;1991;1992;1993;1994;2168;2169;2170;2171;2217;2218;2219;2220;2221;2222;2223;2224;2344;2345;2346;2370;2371;2372;2373;2374;2378;2379;2612;2898;2899;2900;2977;2978;2979;2980;2981;2982;2983;2984;2985;2986;2987;2988;2989;2990;2996;2997;2998;2999;3265;3266;3267;3693;3694;3695;3696;3697;3698;3746;3747;3748;3749	454;455;456;457;458;459;460;461;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029;1030;1031;1032;1033;1034;1035;1036;1037;3133;3134;3135;3136;3137;3138;3139;3140;3141;3142;3143;3144;3145;3146;3147;3148;3149;3150;3151;3539;3540;3541;3542;3543;3544;3545;3546;3547;3548;3549;3550;3551;3552;3553;3554;3555;3556;3557;3558;3559;3560;6794;6795;6796;6797;6798;6799;6800;6801;6802;6803;6804;6805;6806;6807;6808;6809;6810;6811;6812;6813;6814;6815;6816;6817;6818;6819;6820;6821;6822;6823;7016;7017;7018;7019;7020;7021;7022;7023;7024;7025;7026;7027;7028;7029;7030;7031;7032;7033;7034;7035;7036;7037;7038;7039;7040;7041;7042;7043;7044;7045;7046;7047;7048;7049;7050;7051;7052;8360;8361;8362;8363;8364;8365;8366;8367;8368;8369;8405;8406;8407;8408;8409;8410;8411;8554;8555;8556;8557;8558;8559;8560;8561;8562;8563;8564;8565;8566;8567;8568;8569;8570;8571;8572;8573;8574;8575;8576;8577;8578;8579;8580;8581;8582;8583;8584;8585;8586;8587;8588;8589;8590;8591;8592;8593;8594;8595;8596;8597;8598;8599;9287;9288;9289;9290;9291;9292;9293;9294;9295;9296;9297;9298;9299;9300;9301;9302;9303;9304;9305;9306;9307;9308;9309;9310;9311;9312;9313;9314;9315;9316;9317;9318;9319;9320;9321;9322;9323;9324;9531;9532;9533;9534;9535;9536;9537;9538;9539;9540;9541;9542;9543;9544;9994;9995;9996;9997;9998;9999;10000;10001;10002;10003;10004;10005;10006;10007;10008;10009;10010;10011;10012;10013;10014;10015;10016;10123;10124;10125;10126;10127;10128;10129;10130;10131;10132;10133;10134;10135;10136;10137;10145;10146;10147;10148;10990;10991;10992;12157;12158;12159;12160;12161;12162;12163;12164;12165;12166;12167;12443;12444;12445;12446;12447;12448;12449;12450;12451;12452;12453;12454;12455;12456;12457;12458;12459;12460;12461;12462;12463;12464;12465;12466;12467;12468;12469;12470;12471;12472;12473;12474;12475;12476;12477;12478;12479;12480;12481;12482;12483;12484;12485;12486;12487;12488;12489;12490;12491;12492;12493;12494;12495;12496;12497;12498;12499;12500;12501;12502;12503;12504;12505;12506;12507;12508;12509;12510;12511;12512;12513;12514;12515;12516;12517;12518;12519;12520;12521;12522;12523;12535;12536;12537;12538;12539;12540;12541;12542;12543;12544;12545;12546;12547;12548;12549;12550;12551;12552;12553;12554;12555;12556;13600;13601;13602;13603;13604;13605;13606;13607;13608;13609;13610;13611;13612;13613;13614;13615;13616;13617;13618;13619;13620;13621;13622;13623;13624;13625;13626;13627;13628;13629;13630;13631;13632;13633;13634;13635;13636;13637;13638;13639;13640;13641;13642;13643;13644;13645;13646;13647;13648;13649;13650;13651;13652;13653;13654;13655;13656;13657;13658;13659;13660;13661;13662;15597;15598;15599;15600;15601;15602;15603;15604;15605;15606;15607;15608;15609;15610;15611;15612;15613;15614;15809;15810;15811;15812;15813;15814;15815;15816	455;1020;3147;3552;6802;7051;8360;8366;8406;8592;9301;9324;9542;10004;10124;10137;10146;10992;12161;12494;12541;13659;15606;15816	6	476
b1244	b1244	5	5	5		1	5	5	5	25.5	25.5	25.5	33.443	306	306	0	6.188	0.53319	0.75876	13.845	5	0	Leave out requantified	411300	326980	84310				116	554;740;1034;1916;1923	True;True;True;True;True	558;746;1041;1938;1945	1090;1091;1092;1422;1423;2009;3797;3798;3799;3806	4855;4856;4857;4858;4859;6224;6225;6226;6227;8666;16029;16030;16031;16032;16033;16034;16035;16057	4855;6224;8666;16031;16057		
b1247	b1247	5	5	5		1	5	5	5	16.5	16.5	16.5	37.197	334	334	0	12.059	0.74263	1.2191	5.4054	4	0	Leave out requantified	338380	192290	146080				117	134;1295;1465;1751;1789	True;True;True;True;True	135;1307;1481;1771;1809	273;2525;2862;2863;3462;3537	1337;1338;10664;10665;10666;10667;10668;10669;10670;10671;11976;11977;14496;14497;14498;14499;14500;14501;14502;14503;14504;14788;14789	1337;10667;11976;14504;14789		
b1281	b1281	2	2	2		1	2	2	2	8.6	8.6	8.6	26.35	245	245	0	2.7817	0.85608	1.1857	14.429	2	0	Median	78127	42662	35465				118	472;634	True;True	476;639	939;1235	4264;4265;5475	4264;5475		
b1286	b1286	4	4	4		1	4	4	4	8.1	8.1	8.1	72.49	644	644	0	5.8015	1.2833	0.87335	6.8478	2	0	Median	112330	21864	90465				119	512;631;638;1833	True;True;True;True	516;636;644;1854	999;1231;1242;3616	4494;4495;4496;5466;5467;5508;5509;5510;5511;5512;5513;5514;15128	4494;5466;5511;15128		
b1288	b1288	7	7	7		1	7	7	7	32.8	32.8	32.8	27.864	262	262	0	9.3659	1.1651	1.6129	22.123	7	0	Leave out requantified	444830	211010	233820				120	109;202;826;900;1185;1521;1804	True;True;True;True;True;True;True	110;205;832;907;1193;1537;1825	229;414;1592;1749;1750;2308;2309;2310;2970;2971;3563;3564;3565;3566	1162;2031;2032;2033;6916;6917;7707;7708;7709;9879;9880;9881;9882;9883;9884;12413;12414;12415;12416;14901;14902;14903;14904;14905;14906;14907;14908;14909;14910;14911;14912	1162;2031;6917;7709;9880;12414;14905		
b1324	b1324	3	3	3		1	3	3	3	23.8	23.8	23.8	17.835	168	168	0	7.8119	0.6759	1.0295	19.843	7	0	Leave out requantified	740270	452560	287710				121	192;324;1303	True;True;True	195;328;1318	390;391;660;661;2562;2563;2564	1899;1900;1901;1902;1903;3068;3069;3070;3071;3072;3073;3074;3075;3076;10835;10836;10837;10838;10839;10840;10841;10842;10843;10844;10845;10846;10847;10848;10849	1899;3073;10840		
b1333	b1333	1	1	1		1	1	1	1	6.3	6.3	6.3	35.706	316	316	0	2.2009	NaN	NaN	NaN	0	0	Median	19109	0	19109				122	1610	True	1629	3133	13062	13062		
b1334	b1334	1	1	1		1	1	1	1	4	4	4	27.967	250	250	0	2.6156	NaN	NaN	NaN	1	0	Median	76430	49295	27135				123	1014	True	1021	1967;1968	8470;8471;8472;8473;8474;8475	8475		
b1395	b1395	2	2	2		1	2	2	2	8.8	8.8	8.8	51.732	475	475	0.002994	1.7604	NaN	NaN	NaN	1	0	Median	116890	98048	18842				124	1464;1858	True;True	1480;1879	2861;3678	11975;15518;15519	11975;15519		
b1452	b1452	12	12	12		1	12	12	12	45.6	45.6	45.6	38.612	353	353	0	38.065	0.57416	0.95998	7.3703	13	0	Leave out requantified	1305700	850890	454830				125	6;66;465;489;1130;1235;1289;1417;1586;1596;1690;1830	True;True;True;True;True;True;True;True;True;True;True;True	6;66;469;493;1137;1243;1300;1433;1605;1615;1709;1851	18;19;120;932;964;965;966;2188;2189;2409;2514;2515;2754;3085;3100;3304;3613	96;97;98;99;100;101;102;103;104;105;106;107;538;539;540;541;542;4244;4245;4382;4383;4384;4385;4386;4387;4388;4389;4390;4391;4392;4393;4394;4395;4396;4397;4398;4399;9391;9392;9393;9394;9395;9396;9397;9398;9399;9400;10276;10614;10615;10616;10617;10618;10619;11502;11503;11504;11505;11506;11507;11508;12861;12908;12909;12910;12911;12912;12913;13767;13768;15117;15118;15119;15120;15121	102;539;4245;4384;9397;10276;10619;11506;12861;12911;13767;15117		
b1604	b1604	2	2	2		1	2	2	2	8	8	8	33.903	314	314	0	3.1853	1.3248	2.1748	4.4811	2	0	Median	53863	22146	31717				126	210;715	True;True	213;721	432;1375	2082;2083;6005	2082;6005		
b1614	b1614	1	1	1		1	1	1	1	2.8	2.8	2.8	54.688	502	502	0	1.9777	NaN	NaN	NaN	1	0	Median	29253	11987	17266				127	1835	True	1856	3618	15131;15132;15133	15131		
b1637	b1637	3	3	3		1	3	3	3	9	9	9	47.526	424	424	0	3.4155	NaN	NaN	NaN	1	0	Median	64961	53015	11945				128	195;1100;1588	True;True;True	198;1107;1607	400;2132;3090	1995;1996;1997;9149;12871	1995;9149;12871		
b1656	b1656	4	4	4		1	4	4	4	24.4	24.4	24.4	21.265	193	193	0	5.1603	0.61607	0.92776	1.9683	5	0	Leave out requantified	287380	184250	103130				129	267;1314;1477;1509	True;True;True;True	271;1329;1493;1525	570;2581;2582;2889;2890;2948	2678;2679;10909;10910;10911;12122;12123;12124;12125;12126;12127;12128;12129;12130;12131;12132;12133;12134;12135;12136;12137;12138;12139;12140;12141;12338;12339	2679;10910;12137;12338		
